"12f6 -- 8. Asukkaiden pääasiallinen toiminta, 2010-2022"

"Postinumeroalue";"Tiedot";"2022"
"00290  Meilahden sairaala-alue (Helsinki)";"Työttömät (PT)";4
"00290  Meilahden sairaala-alue (Helsinki)";"Lapset 0-14-vuotiaat (PT)";14
"00290  Meilahden sairaala-alue (Helsinki)";"Opiskelijat (PT)";4
"00290  Meilahden sairaala-alue (Helsinki)";"Eläkeläiset (PT)";31
"00290  Meilahden sairaala-alue (Helsinki)";"Muut (PT)";5
"00300  Pikku Huopalahti (Helsinki)";"Asukkaat yhteensä (PT)";5321
"00300  Pikku Huopalahti (Helsinki)";"Työlliset (PT)";2402
"00300  Pikku Huopalahti (Helsinki)";"Työttömät (PT)";282
"00300  Pikku Huopalahti (Helsinki)";"Lapset 0-14-vuotiaat (PT)";760
"00300  Pikku Huopalahti (Helsinki)";"Opiskelijat (PT)";431
"00300  Pikku Huopalahti (Helsinki)";"Eläkeläiset (PT)";1251
"00300  Pikku Huopalahti (Helsinki)";"Muut (PT)";195
"00310  Kivihaka (Helsinki)";"Asukkaat yhteensä (PT)";769
"00310  Kivihaka (Helsinki)";"Työlliset (PT)";420
"00310  Kivihaka (Helsinki)";"Työttömät (PT)";42
"00310  Kivihaka (Helsinki)";"Lapset 0-14-vuotiaat (PT)";73
"00310  Kivihaka (Helsinki)";"Opiskelijat (PT)";47
"00310  Kivihaka (Helsinki)";"Eläkeläiset (PT)";166
"00310  Kivihaka (Helsinki)";"Muut (PT)";21
"00320  Etelä-Haaga (Helsinki)";"Asukkaat yhteensä (PT)";10590
"00320  Etelä-Haaga (Helsinki)";"Työlliset (PT)";5938
"00320  Etelä-Haaga (Helsinki)";"Työttömät (PT)";409
"00320  Etelä-Haaga (Helsinki)";"Lapset 0-14-vuotiaat (PT)";1241
"00320  Etelä-Haaga (Helsinki)";"Opiskelijat (PT)";841
"00320  Etelä-Haaga (Helsinki)";"Eläkeläiset (PT)";1834
"00320  Etelä-Haaga (Helsinki)";"Muut (PT)";327
"00330  Munkkiniemi (Helsinki)";"Asukkaat yhteensä (PT)";9280
"00330  Munkkiniemi (Helsinki)";"Työlliset (PT)";4320
"00330  Munkkiniemi (Helsinki)";"Työttömät (PT)";274
"00330  Munkkiniemi (Helsinki)";"Lapset 0-14-vuotiaat (PT)";1330
"00330  Munkkiniemi (Helsinki)";"Opiskelijat (PT)";664
"00330  Munkkiniemi (Helsinki)";"Eläkeläiset (PT)";2405
"00330  Munkkiniemi (Helsinki)";"Muut (PT)";287
"00340  Kuusisaari - Lehtisaari (Helsinki)";"Asukkaat yhteensä (PT)";1837
"00340  Kuusisaari - Lehtisaari (Helsinki)";"Työlliset (PT)";847
"00340  Kuusisaari - Lehtisaari (Helsinki)";"Työttömät (PT)";60
"00340  Kuusisaari - Lehtisaari (Helsinki)";"Lapset 0-14-vuotiaat (PT)";305
"00340  Kuusisaari - Lehtisaari (Helsinki)";"Opiskelijat (PT)";141
"00340  Kuusisaari - Lehtisaari (Helsinki)";"Eläkeläiset (PT)";389
"00340  Kuusisaari - Lehtisaari (Helsinki)";"Muut (PT)";95
"00350  Munkkivuori - Niemenmäki (Helsinki)";"Asukkaat yhteensä (PT)";9414
"00350  Munkkivuori - Niemenmäki (Helsinki)";"Työlliset (PT)";4863
"00350  Munkkivuori - Niemenmäki (Helsinki)";"Työttömät (PT)";399
"00350  Munkkivuori - Niemenmäki (Helsinki)";"Lapset 0-14-vuotiaat (PT)";1320
"00350  Munkkivuori - Niemenmäki (Helsinki)";"Opiskelijat (PT)";747
"00350  Munkkivuori - Niemenmäki (Helsinki)";"Eläkeläiset (PT)";1777
"00350  Munkkivuori - Niemenmäki (Helsinki)";"Muut (PT)";308
"00360  Pajamäki (Helsinki)";"Asukkaat yhteensä (PT)";1864
"00360  Pajamäki (Helsinki)";"Työlliset (PT)";966
"00360  Pajamäki (Helsinki)";"Työttömät (PT)";100
"00360  Pajamäki (Helsinki)";"Lapset 0-14-vuotiaat (PT)";237
"00360  Pajamäki (Helsinki)";"Opiskelijat (PT)";126
"00360  Pajamäki (Helsinki)";"Eläkeläiset (PT)";357
"00360  Pajamäki (Helsinki)";"Muut (PT)";78
"00370  Reimarla (Helsinki)";"Asukkaat yhteensä (PT)";6335
"00370  Reimarla (Helsinki)";"Työlliset (PT)";2987
"00370  Reimarla (Helsinki)";"Työttömät (PT)";319
"00370  Reimarla (Helsinki)";"Lapset 0-14-vuotiaat (PT)";947
"00370  Reimarla (Helsinki)";"Opiskelijat (PT)";500
"00370  Reimarla (Helsinki)";"Eläkeläiset (PT)";1309
"00370  Reimarla (Helsinki)";"Muut (PT)";273
"00380  Pitäjänmäen yritysalue (Helsinki)";"Asukkaat yhteensä (PT)";4876
"00380  Pitäjänmäen yritysalue (Helsinki)";"Työlliset (PT)";2424
"00380  Pitäjänmäen yritysalue (Helsinki)";"Työttömät (PT)";319
"00380  Pitäjänmäen yritysalue (Helsinki)";"Lapset 0-14-vuotiaat (PT)";653
"00380  Pitäjänmäen yritysalue (Helsinki)";"Opiskelijat (PT)";344
"00380  Pitäjänmäen yritysalue (Helsinki)";"Eläkeläiset (PT)";951
"00380  Pitäjänmäen yritysalue (Helsinki)";"Muut (PT)";185
"00390  Konala (Helsinki)";"Asukkaat yhteensä (PT)";6517
"00390  Konala (Helsinki)";"Työlliset (PT)";3082
"00390  Konala (Helsinki)";"Työttömät (PT)";376
"00390  Konala (Helsinki)";"Lapset 0-14-vuotiaat (PT)";971
"00390  Konala (Helsinki)";"Opiskelijat (PT)";457
"00390  Konala (Helsinki)";"Eläkeläiset (PT)";1329
"00390  Konala (Helsinki)";"Muut (PT)";302
"00400  Pohjois-Haaga (Helsinki)";"Asukkaat yhteensä (PT)";9180
"00400  Pohjois-Haaga (Helsinki)";"Työlliset (PT)";4476
"00400  Pohjois-Haaga (Helsinki)";"Työttömät (PT)";544
"00400  Pohjois-Haaga (Helsinki)";"Lapset 0-14-vuotiaat (PT)";1122
"00400  Pohjois-Haaga (Helsinki)";"Opiskelijat (PT)";677
"00400  Pohjois-Haaga (Helsinki)";"Eläkeläiset (PT)";2006
"00400  Pohjois-Haaga (Helsinki)";"Muut (PT)";355
"00410  Malminkartano (Helsinki)";"Asukkaat yhteensä (PT)";9656
"00410  Malminkartano (Helsinki)";"Työlliset (PT)";4391
"00410  Malminkartano (Helsinki)";"Työttömät (PT)";647
"00410  Malminkartano (Helsinki)";"Lapset 0-14-vuotiaat (PT)";1601
"00410  Malminkartano (Helsinki)";"Opiskelijat (PT)";900
"00410  Malminkartano (Helsinki)";"Eläkeläiset (PT)";1570
"00410  Malminkartano (Helsinki)";"Muut (PT)";547
"00420  Kannelmäki (Helsinki)";"Asukkaat yhteensä (PT)";13726
"00420  Kannelmäki (Helsinki)";"Työlliset (PT)";5870
"00420  Kannelmäki (Helsinki)";"Työttömät (PT)";934
"00420  Kannelmäki (Helsinki)";"Lapset 0-14-vuotiaat (PT)";1929
"00420  Kannelmäki (Helsinki)";"Opiskelijat (PT)";1093
"00420  Kannelmäki (Helsinki)";"Eläkeläiset (PT)";3094
"00420  Kannelmäki (Helsinki)";"Muut (PT)";806
"00430  Maununneva - Kuninkaantammi (Helsinki)";"Asukkaat yhteensä (PT)";7825
"00430  Maununneva - Kuninkaantammi (Helsinki)";"Työlliset (PT)";3930
"00430  Maununneva - Kuninkaantammi (Helsinki)";"Työttömät (PT)";263
