# Age demographics of Finnish population per area code. Data for 2022.
# Data taken from https://www.stat.fi/tup/paavo/index.html
# 
# yht: "Asukkaat yhteensä (HE)"
# male: "Miehet (HE)"
# female: "Naiset (HE)"
# avg: "Asukkaiden keski-ikä (HE)"
# 18_19: "18-19-vuotiaat (HE)"
# 20_24: "20-24-vuotiaat (HE)"
# 25_29: "25-29-vuotiaat (HE)"
# 30_34: "30-34-vuotiaat (HE)"
# 35_39: "35-39-vuotiaat (HE)"
# 40_44: "40-44-vuotiaat (HE)"
# 45_49: "45-49-vuotiaat (HE)"
# 50_54: "50-54-vuotiaat (HE)"
# 55_59: "55-59-vuotiaat (HE)"
# 60_64: "60-64-vuotiaat (HE)"
# 65_69: "65-69-vuotiaat (HE)"
# 70_74: "70-74-vuotiaat (HE)"
# 75_79: "75-79-vuotiaat (HE)"
# 80_84: "80-84-vuotiaat (HE)"
# 85: "85 vuotta täyttäneet (HE)"
#
# CSV-Schema:
# area_code, area_name, yht, male, female, avg, 18_19, 20_24, 25_29, 30_34, 35_39, 40_44, 45_49, 50_54, 55_59, 60_64, 65_69, 70_74, 75_79, 80_84, 85

00650; Veräjämäki (Helsinki); 4352; 2081; 2271; 40; 92; 193; 313; 346; 358; 328; 324; 275; 234; 254; 176; 185; 124; 104; 120
00660; Länsi-Pakila (Helsinki); 6670; 3273; 3397; 44; 149; 165; 150; 291; 436; 529; 495; 436; 468; 447; 346; 388; 368; 217; 231
00670; Paloheinä (Helsinki); 5922; 2937; 2985; 42; 154; 132; 111; 298; 380; 457; 440; 374; 430; 444; 357; 347; 269; 122; 117
00680; Itä-Pakila (Helsinki); 3670; 1833; 1837; 41; 89; 95; 112; 183; 296; 285; 291; 257; 255; 226; 167; 158; 142; 89; 81
00690; Torpparinmäki (Helsinki); 2816; 1368; 1448; 40; 66; 80; 65; 123; 197; 265; 249; 216; 163; 161; 132; 148; 120; 36; 24
00700; Malmi (Helsinki); 13991; 6793; 7198; 41; 290; 787; 1007; 1321; 1135; 940; 758; 784; 862; 840; 772; 665; 456; 308; 302
00710; Pihlajamäki - Viikinmäki (Helsinki); 12678; 6049; 6629; 42; 234; 691; 983; 1148; 1156; 926; 759; 663; 794; 669; 625; 649; 515; 324; 273
00720; Pukinmäki (Helsinki); 8825; 4110; 4715; 42; 166; 458; 679; 828; 739; 605; 466; 446; 499; 514; 522; 499; 401; 230; 210
00730; Tapanila (Helsinki); 11390; 5484; 5906; 41; 238; 384; 520; 791; 880; 930; 758; 692; 869; 831; 676; 579; 418; 208; 126
00740; Siltamäki (Helsinki); 10328; 5003; 5325; 41; 248; 404; 600; 770; 796; 783; 639; 576; 683; 585; 547; 564; 470; 226; 202
00750; Tapulikaupunki (Helsinki); 9449; 4699; 4750; 40; 194; 417; 620; 776; 772; 731; 597; 573; 628; 525; 479; 432; 330; 191; 137
00760; Puistola - Heikinlaakso (Helsinki); 7464; 3664; 3800; 42; 173; 206; 226; 455; 538; 574; 541; 488; 590; 497; 447; 345; 327; 159; 114
00770; Jakomäki - Alppikylä (Helsinki); 7166; 3498; 3668; 40; 178; 368; 534; 613; 580; 523; 439; 465; 505; 391; 285; 251; 259; 164; 145
00780; Tapaninvainio (Helsinki); 6789; 3298; 3491; 46; 121; 196; 284; 463; 476; 479; 422; 383; 483; 521; 456; 473; 335; 228; 215
00790; Viikki (Helsinki); 10585; 5004; 5581; 35; 224; 951; 959; 950; 874; 846; 731; 526; 542; 371; 309; 284; 253; 149; 114
00800; Länsi-Herttoniemi (Helsinki); 7558; 3502; 4056; 42; 141; 424; 654; 758; 652; 624; 475; 446; 453; 435; 401; 329; 254; 151; 178
00810; Herttoniemenranta (Helsinki); 11937; 5600; 6337; 40; 201; 619; 1105; 1267; 986; 889; 712; 706; 794; 679; 596; 522; 407; 207; 160
00820; Roihuvuori (Helsinki); 7794; 3645; 4149; 42; 106; 354; 471; 783; 796; 680; 478; 430; 505; 441; 398; 347; 258; 163; 211
00830; Tammisalo (Helsinki); 2257; 1098; 1159; 44; 38; 48; 35; 94; 152; 185; 175; 139; 177; 153; 99; 120; 141; 65; 96
00840; Yliskylä (Helsinki); 8916; 4133; 4783; 44; 142; 334; 466; 640; 713; 662; 600; 459; 530; 492; 443; 569; 607; 304; 268
00850; Jollas (Helsinki); 3112; 1559; 1553; 41; 82; 88; 80; 133; 183; 228; 274; 253; 261; 225; 145; 155; 107; 51; 33
00860; Santahamina (Helsinki); 293; 163; 130; 32; 3; 39; 47; 20; 26; 38; 21; 17; 11; 8; 1; 1; 0; 0; 0
00870; Gunillanmäki - Hevossalmi (Helsinki); 6125; 2803; 3322; 40; 116; 317; 414; 531; 496; 422; 399; 343; 403; 363; 294; 267; 220; 126; 116
00880; Keski-Herttoniemi - Roihupelto (Helsinki); 1383; 664; 719; 39; 31; 103; 208; 221; 124; 82; 66; 61; 74; 46; 54; 51; 38; 20; 33
00890; Östersundom (Helsinki); 1785; 908; 877; 43; 68; 93; 46; 49; 70; 105; 143; 208; 267; 135; 78; 58; 64; 27; 15
00900; Puotinharju (Helsinki); 4186; 2044; 2142; 43; 76; 221; 268; 375; 340; 294; 244; 227; 303; 279; 236; 194; 161; 121; 131
00910; Puotila (Helsinki); 5894; 2734; 3160; 43; 123; 348; 461; 560; 505; 402; 353; 336; 359; 347; 272; 283; 243; 170; 253
00920; Myllypuro (Helsinki); 14035; 6830; 7205; 42; 270; 649; 771; 1040; 1135; 988; 898; 787; 986; 871; 708; 639; 559; 400; 436
00930; Itäkeskus - Marjaniemi (Helsinki); 6600; 3202; 3398; 43; 154; 326; 374; 511; 445; 448; 368; 412; 489; 433; 332; 362; 298; 182; 192
00940; Kontula - Vesala - Kivikko (Helsinki); 26070; 12698; 13372; 42; 579; 1455; 1704; 2105; 1979; 1712; 1575; 1573; 1806; 1584; 1285; 1126; 1000; 725; 750
00950; Vartioharju (Helsinki); 6395; 3104; 3291; 42; 174; 247; 301; 388; 441; 474; 439; 427; 523; 452; 373; 294; 255; 168; 116
00960; Pohjois-Vuosaari (Helsinki); 7199; 3462; 3737; 44; 135; 321; 398; 540; 517; 472; 494; 465; 569; 495; 389; 377; 346; 206; 164
00970; Mellunmäki (Helsinki); 10859; 5171; 5688; 43; 229; 604; 706; 863; 790; 714; 656; 627; 785; 707; 617; 609; 480; 312; 262
