"00350  Munkkivuori - Niemenmäki (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";2173
"00360  Pajamäki (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";1598
"00360  Pajamäki (Helsinki)";"Perusasteen suorittaneet (KO)";285
"00360  Pajamäki (Helsinki)";"Koulutetut yhteensä (KO)";1313
"00360  Pajamäki (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";160
"00360  Pajamäki (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";317
"00360  Pajamäki (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";426
"00360  Pajamäki (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";410
"00370  Reimarla (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";5210
"00370  Reimarla (Helsinki)";"Perusasteen suorittaneet (KO)";1257
"00370  Reimarla (Helsinki)";"Koulutetut yhteensä (KO)";3953
"00370  Reimarla (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";514
"00370  Reimarla (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";1127
"00370  Reimarla (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";1228
"00370  Reimarla (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";1084
"00380  Pitäjänmäen yritysalue (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";4098
"00380  Pitäjänmäen yritysalue (Helsinki)";"Perusasteen suorittaneet (KO)";956
"00380  Pitäjänmäen yritysalue (Helsinki)";"Koulutetut yhteensä (KO)";3142
"00380  Pitäjänmäen yritysalue (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";380
"00380  Pitäjänmäen yritysalue (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";947
"00380  Pitäjänmäen yritysalue (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";1030
"00380  Pitäjänmäen yritysalue (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";785
"00390  Konala (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";5354
"00390  Konala (Helsinki)";"Perusasteen suorittaneet (KO)";1329
"00390  Konala (Helsinki)";"Koulutetut yhteensä (KO)";4025
"00390  Konala (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";449
"00390  Konala (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";1370
"00390  Konala (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";1310
"00390  Konala (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";896
"00400  Pohjois-Haaga (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";7890
"00400  Pohjois-Haaga (Helsinki)";"Perusasteen suorittaneet (KO)";1927
"00400  Pohjois-Haaga (Helsinki)";"Koulutetut yhteensä (KO)";5963
"00400  Pohjois-Haaga (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";733
"00400  Pohjois-Haaga (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";1694
"00400  Pohjois-Haaga (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";1839
"00400  Pohjois-Haaga (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";1697
"00410  Malminkartano (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";7771
"00410  Malminkartano (Helsinki)";"Perusasteen suorittaneet (KO)";2096
"00410  Malminkartano (Helsinki)";"Koulutetut yhteensä (KO)";5675
"00410  Malminkartano (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";785
"00410  Malminkartano (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";2125
"00410  Malminkartano (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";1717
"00410  Malminkartano (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";1048
"00420  Kannelmäki (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";11471
"00420  Kannelmäki (Helsinki)";"Perusasteen suorittaneet (KO)";3439
"00420  Kannelmäki (Helsinki)";"Koulutetut yhteensä (KO)";8032
"00420  Kannelmäki (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";1035
"00420  Kannelmäki (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";2914
"00420  Kannelmäki (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";2405
"00420  Kannelmäki (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";1678
"00430  Maununneva - Kuninkaantammi (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";6054
"00430  Maununneva - Kuninkaantammi (Helsinki)";"Perusasteen suorittaneet (KO)";868
"00430  Maununneva - Kuninkaantammi (Helsinki)";"Koulutetut yhteensä (KO)";5186
"00430  Maununneva - Kuninkaantammi (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";598
"00430  Maununneva - Kuninkaantammi (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";1403
"00430  Maununneva - Kuninkaantammi (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";1738
"00430  Maununneva - Kuninkaantammi (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";1447
"00440  Lassila (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";4019
"00440  Lassila (Helsinki)";"Perusasteen suorittaneet (KO)";913
"00440  Lassila (Helsinki)";"Koulutetut yhteensä (KO)";3106
"00440  Lassila (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";387
"00440  Lassila (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";902
"00440  Lassila (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";1009
"00440  Lassila (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";808
"00500  Sörnäinen - Harju (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";11032
"00500  Sörnäinen - Harju (Helsinki)";"Perusasteen suorittaneet (KO)";1878
"00500  Sörnäinen - Harju (Helsinki)";"Koulutetut yhteensä (KO)";9154
"00500  Sörnäinen - Harju (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";2061
"00500  Sörnäinen - Harju (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";2102
"00500  Sörnäinen - Harju (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";2562
"00500  Sörnäinen - Harju (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";2429
"00510  Alppila - Vallila (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";8718
"00510  Alppila - Vallila (Helsinki)";"Perusasteen suorittaneet (KO)";1353
"00510  Alppila - Vallila (Helsinki)";"Koulutetut yhteensä (KO)";7365
"00510  Alppila - Vallila (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";1268
"00510  Alppila - Vallila (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";1677
"00510  Alppila - Vallila (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";2160
"00510  Alppila - Vallila (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";2260
"00520  Itä- ja Keski-Pasila (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";7348
"00520  Itä- ja Keski-Pasila (Helsinki)";"Perusasteen suorittaneet (KO)";1375
"00520  Itä- ja Keski-Pasila (Helsinki)";"Koulutetut yhteensä (KO)";5973
"00520  Itä- ja Keski-Pasila (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";843
"00520  Itä- ja Keski-Pasila (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";1364
"00520  Itä- ja Keski-Pasila (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";1837
"00520  Itä- ja Keski-Pasila (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";1929
"00530  Kallio (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";16651
"00530  Kallio (Helsinki)";"Perusasteen suorittaneet (KO)";2864
"00530  Kallio (Helsinki)";"Koulutetut yhteensä (KO)";13787
"00530  Kallio (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";2734
"00530  Kallio (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";2924
"00530  Kallio (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";3983
"00530  Kallio (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";4146
"00540  Kalasatama - Sompasaari (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";4463
"00540  Kalasatama - Sompasaari (Helsinki)";"Perusasteen suorittaneet (KO)";668
"00540  Kalasatama - Sompasaari (Helsinki)";"Koulutetut yhteensä (KO)";3795
"00540  Kalasatama - Sompasaari (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";565
"00540  Kalasatama - Sompasaari (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";764
"00540  Kalasatama - Sompasaari (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";1126
"00540  Kalasatama - Sompasaari (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";1340
"00550  Vallila - Hermanni (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";8156
"00550  Vallila - Hermanni (Helsinki)";"Perusasteen suorittaneet (KO)";1365
"00550  Vallila - Hermanni (Helsinki)";"Koulutetut yhteensä (KO)";6791
"00550  Vallila - Hermanni (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";1323
